bin,different,total,language_id,speaker_id,group_id,n_observed_chips,n_missing_chips,n_valid_pairs,distance,language_K
11,3992,4991,1,10,1:10,330,0,54285,64.25956490493448,7
12,4324,5174,1,10,1:10,330,0,54285,69.84735315753748,7
13,4254,4955,1,10,1:10,330,0,54285,75.43514141014049,7
14,3196,3638,1,10,1:10,330,0,54285,81.02292966274348,7
15,2661,2971,1,10,1:10,330,0,54285,86.61071791534647,7
16,2154,2406,1,10,1:10,330,0,54285,92.19850616794949,7
17,1718,1885,1,10,1:10,330,0,54285,97.78629442055248,7
18,1417,1521,1,10,1:10,330,0,54285,103.37408267315547,7
19,1044,1106,1,10,1:10,330,0,54285,108.96187092575848,7
20,891,933,1,10,1:10,330,0,54285,114.54965917836148,7
21,526,555,1,10,1:10,330,0,54285,120.13744743096447,7
22,384,395,1,10,1:10,330,0,54285,125.72523568356746,7
23,213,227,1,10,1:10,330,0,54285,131.31302393617045,7
24,141,148,1,10,1:10,330,0,54285,136.90081218877347,7
25,88,92,1,10,1:10,330,0,54285,142.48860044137646,7
26,36,36,1,10,1:10,330,0,54285,148.07638869397948,7
27,20,20,1,10,1:10,330,0,54285,153.66417694658247,7
28,8,8,1,10,1:10,330,0,54285,159.25196519918546,7
29,4,4,1,10,1:10,330,0,54285,164.83975345178845,7
0,87,233,1,11,1:11,330,0,54285,2.7938941263014994,7
1,162,442,1,11,1:11,330,0,54285,8.381682378904499,7
2,519,1110,1,11,1:11,330,0,54285,13.969470631507498,7
3,731,1401,1,11,1:11,330,0,54285,19.557258884110496,7
4,1085,1712,1,11,1:11,330,0,54285,25.145047136713494,7
5,1229,1864,1,11,1:11,330,0,54285,30.73283538931649,7
6,1830,2492,1,11,1:11,330,0,54285,36.3206236419195,7
7,2297,2902,1,11,1:11,330,0,54285,41.90841189452249,7
8,2600,3134,1,11,1:11,330,0,54285,47.49620014712549,7
9,3280,3768,1,11,1:11,330,0,54285,53.08398839972848,7
10,3720,4162,1,11,1:11,330,0,54285,58.67177665233149,7
11,4595,4991,1,11,1:11,330,0,54285,64.25956490493448,7
12,4880,5174,1,11,1:11,330,0,54285,69.84735315753748,7
13,4674,4955,1,11,1:11,330,0,54285,75.43514141014049,7
14,3450,3638,1,11,1:11,330,0,54285,81.02292966274348,7
15,2773,2971,1,11,1:11,330,0,54285,86.61071791534647,7
16,2244,2406,1,11,1:11,330,0,54285,92.19850616794949,7
17,1786,1885,1,11,1:11,330,0,54285,97.78629442055248,7
18,1426,1521,1,11,1:11,330,0,54285,103.37408267315547,7
19,1039,1106,1,11,1:11,330,0,54285,108.96187092575848,7
20,880,933,1,11,1:11,330,0,54285,114.54965917836148,7
21,514,555,1,11,1:11,330,0,54285,120.13744743096447,7
22,374,395,1,11,1:11,330,0,54285,125.72523568356746,7
23,208,227,1,11,1:11,330,0,54285,131.31302393617045,7
24,133,148,1,11,1:11,330,0,54285,136.90081218877347,7
25,84,92,1,11,1:11,330,0,54285,142.48860044137646,7
26,33,36,1,11,1:11,330,0,54285,148.07638869397948,7
27,19,20,1,11,1:11,330,0,54285,153.66417694658247,7
28,8,8,1,11,1:11,330,0,54285,159.25196519918546,7
29,4,4,1,11,1:11,330,0,54285,164.83975345178845,7
0,32,233,1,12,1:12,330,0,54285,2.7938941263014994,7
1,97,442,1,12,1:12,330,0,54285,8.381682378904499,7
2,370,1110,1,12,1:12,330,0,54285,13.969470631507498,7
3,444,1401,1,12,1:12,330,0,54285,19.557258884110496,7
4,829,1712,1,12,1:12,330,0,54285,25.145047136713494,7
5,1030,1864,1,12,1:12,330,0,54285,30.73283538931649,7
6,1528,2492,1,12,1:12,330,0,54285,36.3206236419195,7
7,1981,2902,1,12,1:12,330,0,54285,41.90841189452249,7
8,2377,3134,1,12,1:12,330,0,54285,47.49620014712549,7
9,3058,3768,1,12,1:12,330,0,54285,53.08398839972848,7
10,3632,4162,1,12,1:12,330,0,54285,58.67177665233149,7
11,4481,4991,1,12,1:12,330,0,54285,64.25956490493448,7
12,4751,5174,1,12,1:12,330,0,54285,69.84735315753748,7
13,4599,4955,1,12,1:12,330,0,54285,75.43514141014049,7
14,3361,3638,1,12,1:12,330,0,54285,81.02292966274348,7
15,2758,2971,1,12,1:12,330,0,54285,86.61071791534647,7
16,2234,2406,1,12,1:12,330,0,54285,92.19850616794949,7
17,1702,1885,1,12,1:12,330,0,54285,97.78629442055248,7
18,1416,1521,1,12,1:12,330,0,54285,103.37408267315547,7
19,1028,1106,1,12,1:12,330,0,54285,108.96187092575848,7
20,861,933,1,12,1:12,330,0,54285,114.54965917836148,7
21,510,555,1,12,1:12,330,0,54285,120.13744743096447,7
22,369,395,1,12,1:12,330,0,54285,125.72523568356746,7
23,201,227,1,12,1:12,330,0,54285,131.31302393617045,7
24,138,148,1,12,1:12,330,0,54285,136.90081218877347,7
25,86,92,1,12,1:12,330,0,54285,142.48860044137646,7
26,36,36,1,12,1:12,330,0,54285,148.07638869397948,7
27,20,20,1,12,1:12,330,0,54285,153.66417694658247,7
28,8,8,1,12,1:12,330,0,54285,159.25196519918546,7
29,4,4,1,12,1:12,330,0,54285,164.83975345178845,7
0,83,233,1,13,1:13,330,0,54285,2.7938941263014994,7
1,196,442,1,13,1:13,330,0,54285,8.381682378904499,7
2,596,1110,1,13,1:13,330,0,54285,13.969470631507498,7
3,858,1401,1,13,1:13,330,0,54285,19.557258884110496,7
4,1171,1712,1,13,1:13,330,0,54285,25.145047136713494,7
5,1350,1864,1,13,1:13,330,0,54285,30.73283538931649,7
6,1904,2492,1,13,1:13,330,0,54285,36.3206236419195,7
7,2267,2902,1,13,1:13,330,0,54285,41.90841189452249,7
8,2573,3134,1,13,1:13,330,0,54285,47.49620014712549,7
9,3232,3768,1,13,1:13,330,0,54285,53.08398839972848,7
10,3641,4162,1,13,1:13,330,0,54285,58.67177665233149,7
11,4525,4991,1,13,1:13,330,0,54285,64.25956490493448,7
12,4776,5174,1,13,1:13,330,0,54285,69.84735315753748,7
13,4608,4955,1,13,1:13,330,0,54285,75.43514141014049,7
14,3357,3638,1,13,1:13,330,0,54285,81.02292966274348,7
15,2748,2971,1,13,1:13,330,0,54285,86.61071791534647,7
16,2222,2406,1,13,1:13,330,0,54285,92.19850616794949,7
17,1729,1885,1,13,1:13,330,0,54285,97.78629442055248,7
18,1403,1521,1,13,1:13,330,0,54285,103.37408267315547,7
19,1013,1106,1,13,1:13,330,0,54285,108.96187092575848,7
20,850,933,1,13,1:13,330,0,54285,114.54965917836148,7
21,495,555,1,13,1:13,330,0,54285,120.13744743096447,7
22,348,395,1,13,1:13,330,0,54285,125.72523568356746,7
23,202,227,1,13,1:13,330,0,54285,131.31302393617045,7
24,136,148,1,13,1:13,330,0,54285,136.90081218877347,7
25,89,92,1,13,1:13,330,0,54285,142.48860044137646,7
26,36,36,1,13,1:13,330,0,54285,148.07638869397948,7
27,20,20,1,13,1:13,330,0,54285,153.66417694658247,7
28,8,8,1,13,1:13,330,0,54285,159.25196519918546,7
29,4,4,1,13,1:13,330,0,54285,164.83975345178845,7
0,124,233,1,14,1:14,330,0,54285,2.7938941263014994,7
1,230,442,1,14,1:14,330,0,54285,8.381682378904499,7
2,603,1110,1,14,1:14,330,0,54285,13.969470631507498,7
3,778,1401,1,14,1:14,330,0,54285,19.557258884110496,7
4,1011,1712,1,14,1:14,330,0,54285,25.145047136713494,7
5,1165,1864,1,14,1:14,330,0,54285,30.73283538931649,7
6,1674,2492,1,14,1:14,330,0,54285,36.3206236419195,7
7,2082,2902,1,14,1:14,330,0,54285,41.90841189452249,7
8,2463,3134,1,14,1:14,330,0,54285,47.49620014712549,7
9,3075,3768,1,14,1:14,330,0,54285,53.08398839972848,7
10,3562,4162,1,14,1:14,330,0,54285,58.67177665233149,7
11,4479,4991,1,14,1:14,330,0,54285,64.25956490493448,7
12,4775,5174,1,14,1:14,330,0,54285,69.84735315753748,7
13,4596,4955,1,14,1:14,330,0,54285,75.43514141014049,7
14,3385,3638,1,14,1:14,330,0,54285,81.02292966274348,7
15,2731,2971,1,14,1:14,330,0,54285,86.61071791534647,7
16,2202,2406,1,14,1:14,330,0,54285,92.19850616794949,7
17,1737,1885,1,14,1:14,330,0,54285,97.78629442055248,7
18,1426,1521,1,14,1:14,330,0,54285,103.37408267315547,7
19,1036,1106,1,14,1:14,330,0,54285,108.96187092575848,7
20,885,933,1,14,1:14,330,0,54285,114.54965917836148,7
21,528,555,1,14,1:14,330,0,54285,120.13744743096447,7
22,380,395,1,14,1:14,330,0,54285,125.72523568356746,7
23,212,227,1,14,1:14,330,0,54285,131.31302393617045,7
24,139,148,1,14,1:14,330,0,54285,136.90081218877347,7
25,91,92,1,14,1:14,330,0,54285,142.48860044137646,7
26,35,36,1,14,1:14,330,0,54285,148.07638869397948,7
27,20,20,1,14,1:14,330,0,54285,153.66417694658247,7
28,8,8,1,14,1:14,330,0,54285,159.25196519918546,7
29,4,4,1,14,1:14,330,0,54285,164.83975345178845,7
0,97,233,1,15,1:15,330,0,54285,2.7938941263014994,7
1,214,442,1,15,1:15,330,0,54285,8.381682378904499,7
2,558,1110,1,15,1:15,330,0,54285,13.969470631507498,7
3,721,1401,1,15,1:15,330,0,54285,19.557258884110496,7
4,915,1712,1,15,1:15,330,0,54285,25.145047136713494,7
5,1161,1864,1,15,1:15,330,0,54285,30.73283538931649,7
6,1576,2492,1,15,1:15,330,0,54285,36.3206236419195,7
7,1914,2902,1,15,1:15,330,0,54285,41.90841189452249,7
8,2208,3134,1,15,1:15,330,0,54285,47.49620014712549,7
9,2829,3768,1,15,1:15,330,0,54285,53.08398839972848,7
