language_id,mean_speaker_K_rarefied,boot_K_lo,boot_K_hi,mean_effective_categories,boot_eff_lo,boot_eff_hi,mean_delta50,boot_delta_lo,boot_delta_hi,mean_valid_chips,median_valid_chips,n_speakers,n_rarefaction_eligible,language_K
33,7.0,7.0,7.0,6.397210472511183,6.363823302771983,6.42687574393532,21.385337192862984,16.19107696751163,26.34495169092902,329.48,330.0,25,25,7
34,9.691412963237097,8.777009838231088,10.569744878049752,7.914532687971561,7.2673054249660165,8.575137418305555,22.54629756910963,17.323990746308034,27.33390741501319,327.92,330.0,25,24,11
35,7.793612818855726,7.0757712737075,8.465263209240387,6.716261489525875,6.066050096901982,7.28312020893075,37.20346839336922,31.8848512108065,41.99053273383256,329.92,330.0,25,25,9
36,3.2357739853505847,3.0,3.549482789605746,2.828465184416822,2.7646382724817204,2.8995403148586245,66.00628322751528,60.041408273317515,70.05795383860976,329.92,330.0,25,25,3
37,7.35145423970546,6.913603499468661,7.827128603241539,5.869452692087517,5.614981282246216,6.110741247851663,25.062703953785807,18.55824258357801,30.938735069673196,329.8,330.0,25,25,7
38,11.250200205221345,10.851987948081547,11.718641758261994,7.845409103836581,7.711449970958063,7.985588097109593,1.5017416022930805,0.7256031973468698,3.053021808897302,322.39285714285717,328.5,28,25,10
39,9.362687998138085,8.661136815388096,10.04960317403408,7.562610341634694,7.114167595839083,7.991801744894792,25.918649099672713,19.6781975646707,32.08323500204906,330.0,330.0,25,25,9
40,7.03041799764103,6.7632866976111545,7.2633171590357435,5.717338992710644,5.427714567765238,6.024570082429947,22.2192768196207,15.234944452158322,29.133968154250965,327.8888888888889,330.0,27,26,7
41,6.947216195060974,6.66721462944362,7.2652714236829725,5.153979818781217,4.9683697917194145,5.3459735210145505,42.18297899168114,36.22108715740704,46.773945955845996,330.0,330.0,25,25,6
42,8.978004486499096,8.232726371122444,9.802771484148613,7.16722686017045,6.765468375336241,7.6080557451306605,21.867683332764447,15.882674451653816,27.58740020920498,329.96,330.0,25,25,8
43,6.077681811541328,5.03638511118853,7.29264064668915,5.224149792086548,4.462843157453016,6.1297739307329016,40.998898799599154,32.801728881580175,48.3078619222659,327.2,330.0,25,23,8
44,,,,7.516118879196115,6.639352267091521,8.479814959034652,23.34271976144829,15.88040804875479,31.036865167083942,316.68,329.0,25,22,8
45,7.835578152333676,7.593512535681071,8.113717969952177,6.3028478801298675,5.922152139735028,6.731901108150115,32.90116283373984,26.221513660774697,38.75534972115571,329.44,330.0,25,25,10
46,11.05485355975671,10.422432733296414,11.640099326916742,8.406419190354327,8.019602477352331,8.734555331232986,17.224512028453685,11.377695327650667,22.785090884304743,329.96,330.0,25,25,12
47,9.128365456764913,7.27491717026027,11.208813211668302,6.442121898874604,5.669082033574286,7.298998786895698,27.97968294094669,20.387976746701213,35.709526518577164,327.72,330.0,25,24,6
48,7.309481889606758,6.963076923076575,7.996815286624202,5.556127983864754,5.027492208330456,6.0808270066613135,22.69964519332455,15.255132749570086,30.02683641845673,232.68,261.0,25,3,7
49,7.141059236991169,6.778830032446254,7.54292542508008,5.730544660246713,5.382526154050473,6.126268471452312,9.462179017589701,2.7108461700471156,16.53815365485832,329.92,330.0,25,25,7
50,5.784915946814417,4.985440149174139,6.501574723888939,4.549768037034882,4.048309410360708,5.000830702293724,48.730691316279284,44.23506964932584,53.821291509656206,329.4,330.0,10,10,6
51,10.321023682707308,8.711066362135593,12.46565974112927,7.391901390672141,6.661680180143372,8.25898889543708,27.889782160774406,21.860897727449835,33.29638535565959,329.12,330.0,25,25,8
52,10.522394636771226,9.446402516140331,11.634050158227755,8.298680370824393,7.627643681869975,8.984568178668413,17.5805940717657,10.605126118529617,24.859141225889005,329.88,330.0,25,25,9
53,5.8290413071839176,5.52352122314974,6.134758386004403,3.648614556090962,3.5691283688527613,3.723067130759611,13.15922045543366,5.290664936845316,23.079835121165527,328.8421052631579,329.0,19,19,6
54,8.291869308527428,7.1429274323791505,9.750438098067807,6.384670040974511,5.868027160946788,7.03367071310798,28.322450410416113,23.761913682845204,32.13323572013721,300.0,315.0,25,13,7
55,8.582803505288245,8.13005748666625,9.022889990673134,6.854096411553017,6.527077711096396,7.159099339524242,21.52163936035356,15.96445612374044,26.59955166616134,330.0,330.0,25,25,9
56,5.939076528094096,5.349740544280262,6.530740236545016,4.581030250428687,4.200626964875382,4.9636937767326,35.66995837863501,26.796550097224404,44.05410885223345,328.84,330.0,25,25,5
57,10.758870666268914,10.056588491869798,11.414756533203533,7.900821637727656,7.283164416225853,8.388170542307229,18.237700085861135,11.597397017720734,24.95404336370795,328.36,330.0,25,24,11
58,6.4932469860017825,5.658297548863934,7.426911008179835,4.567550410542083,3.935002583407309,5.282521135724622,39.590574209950404,21.387722193295332,60.915581047145636,317.2,330.0,20,19,6
59,11.423162813544993,9.350802782850266,14.117448286157774,7.994874197055824,7.298799014623054,8.706215848457795,14.245846154174695,8.977409408239978,20.08214490697681,281.08,294.0,25,11,10
60,5.1411491149157,4.509386635993209,5.814867015583449,4.121077514619441,3.6362817075835903,4.634646883140347,48.681589996514184,40.55838886504328,56.23124103335295,330.0,330.0,25,25,4
