language_id,speaker_id,group_id,speaker_K_raw,speaker_K_rarefied,n_observed_chips,n_missing_chips,n_valid_pairs,H_label_MillerMadow,effective_colour_categories,rarefaction_target,rarefaction_eligible
84,8,84:8,11,10.955479193041313,327,3,53301,2.0764811611262073,7.976351976416193,313,True
84,9,84:9,16,15.84533977837158,330,0,54285,2.291645145481849,9.891196760891571,313,True
84,10,84:10,13,12.997680602040376,329,1,53956,2.1391258452450748,8.492011051530513,313,True
84,11,84:11,14,13.951272422357746,329,1,53956,2.4060337130574903,11.089888121264265,313,True
84,12,84:12,14,13.948369690197163,330,0,54285,2.134496810034215,8.452792076402254,313,True
84,13,84:13,8,7.948484652878694,330,0,54285,1.672915176378862,5.327676297287723,313,True
84,14,84:14,15,14.89674055403167,330,0,54285,2.2479017485776507,9.467849052177835,313,True
84,15,84:15,9,8.94848484848485,330,0,54285,1.936698818401015,6.93581674582926,313,True
84,16,84:16,17,16.94848484101726,330,0,54285,2.6618620104754487,14.32293373733927,313,True
84,17,84:17,15,,282,48,39621,2.399764651331465,11.020582396014778,313,False
84,18,84:18,11,,299,31,44551,1.983353947736602,7.26707554886669,313,False
84,19,84:19,12,11.994979597354348,330,0,54285,2.1243776287372436,8.367688058612416,313,True
84,20,84:20,11,10.987380942873495,317,13,50086,2.0758525303443744,7.971339371740955,313,True
84,21,84:21,11,,296,34,43660,1.952830533644284,7.048610700490031,313,False
84,22,84:22,14,13.999875610907587,330,0,54285,2.313277294350916,10.107495672152645,313,True
84,23,84:23,19,18.943469133766406,330,0,54285,2.584450810226187,13.256007027032982,313,True
84,24,84:24,15,14.896854929641737,330,0,54285,2.2128049000936976,9.14132095914328,313,True
84,25,84:25,14,13.840443953209913,330,0,54285,2.1878023911021565,8.915598571295325,313,True
85,1,85:1,7,7.0,330,0,54285,1.4144916338547235,4.114394315450776,313,True
85,2,85:2,6,5.999999999999788,330,0,54285,1.4664180911570097,4.333684444465926,313,True
85,3,85:3,8,7.945979552362531,330,0,54285,1.475453765893881,4.373019649958274,313,True
85,4,85:4,7,7.0,330,0,54285,1.5809884062913215,4.859756852404132,313,True
85,5,85:5,7,6.999999999999788,330,0,54285,1.6170489847498561,5.038200550747944,313,True
85,6,85:6,8,7.948370277015841,330,0,54285,1.5616262579873788,4.766566612473991,313,True
85,7,85:7,5,5.0,330,0,54285,1.4190150427283823,4.133047559526225,313,True
85,8,85:8,6,5.948484848484849,330,0,54285,1.5103348388554512,4.528246773462554,313,True
85,9,85:9,7,6.99749470387747,330,0,54285,1.646333599592441,5.187923908879219,313,True
85,10,85:10,7,7.0,330,0,54285,1.4223108940480447,4.146691942356934,313,True
85,11,85:11,6,5.999999999999788,330,0,54285,1.364067893579443,3.912074881900354,313,True
85,12,85:12,7,6.999999999999995,330,0,54285,1.4647128990771145,4.326300976978662,313,True
85,13,85:13,7,6.999999999999995,330,0,54285,1.6194872232513537,5.050499873556956,313,True
85,14,85:14,6,5.999999999999995,330,0,54285,1.5269781150254504,4.604242288034456,313,True
85,15,85:15,7,6.999999999999788,330,0,54285,1.6487137551661635,5.200286681711914,313,True
85,16,85:16,6,5.997494703877682,330,0,54285,1.550611703391305,4.714353086530629,313,True
85,17,85:17,7,6.999885421308611,330,0,54285,1.5510259602066927,4.716306443994755,313,True
85,18,85:18,7,7.0,330,0,54285,1.671264489451033,5.318889226015155,313,True
85,19,85:19,9,8.945864980893523,330,0,54285,1.5174467048304028,4.560565845851452,313,True
