language_id,language_K,mean_rarefied_speaker_K,boot_K_lo,boot_K_hi,mean_effective_categories,boot_eff_lo,boot_eff_hi,mean_information_efficiency,boot_info_lo,boot_info_hi,mean_valid_chips,median_valid_chips,n_speakers,n_rarefaction_eligible
61,6.0,6.683787129920356,5.394813622887625,7.977513040928951,5.205978657887073,4.408650889928497,5.96326569229076,0.3131872998266462,0.27321437268611726,0.3590212557921209,243.0,329.0,15,10
62,8.0,11.453191395638834,9.002381063486036,14.870388058790931,7.8349227353857485,6.587946406527296,9.443772449115313,0.34453994600215654,0.3201315294219517,0.3709488977426076,314.0416666666667,326.0,24,21
63,8.0,8.436192744082232,7.446657613430759,9.42549233672757,6.385310658217688,5.774117127719445,6.973312070407496,0.24854536102675318,0.21369476336772947,0.2799051376881467,329.96,330.0,25,25
64,7.0,7.969325674774087,6.607275257695391,9.458424535677844,5.848339059041236,5.045318269674082,6.627184760015243,0.33464986576135913,0.3012537616678705,0.36767036279609744,327.16,330.0,25,24
65,8.0,7.395773977188091,7.073815652714932,7.717736998692942,6.21273145527257,5.964658433383521,6.469497176645662,0.330152297459309,0.31479931395585653,0.34644697064946506,330.0,330.0,25,25
66,4.0,3.96,3.88,4.0,3.596456887444827,3.487503179274888,3.6898228160868727,0.2681588252852354,0.2554433066483293,0.28041009383394394,329.96,330.0,25,25
67,17.0,16.69282263450416,15.75766321490559,17.678369493669784,11.025828716863103,10.291544644426518,11.697668053620676,0.4765851562288945,0.4600852199080391,0.49356538883418016,328.56,330.0,25,24
68,11.0,10.530421097833361,9.668620428904745,11.358143434097299,7.514668944773247,6.951598771044779,8.036320928464898,0.39866533132786025,0.37551371917563897,0.42136488534762173,329.68,330.0,25,25
69,8.0,8.505815519743347,7.889938846383342,9.2222008607321,6.279650097231655,5.867332935766693,6.7358351229927065,0.3432792215582465,0.3143463135742275,0.371190158756701,319.12,330.0,25,21
70,9.0,15.908380431161461,15.908380431161461,15.908380431161461,5.745324361556867,5.151712357342185,6.405434043242312,0.39382616390752573,0.37396941776709547,0.41518539264185034,202.24,200.0,25,1
71,10.0,8.902890752790569,8.461326798347198,9.330195453923835,6.203024010244056,5.803188412120608,6.5942054406644495,0.3687306775005503,0.34812051196353044,0.3882835000998498,329.96,330.0,25,25
72,11.0,9.947435759950627,8.940590232735186,11.03482404055934,6.754222718823322,6.292152719360663,7.225360292741441,0.40135582984763407,0.38264551355464804,0.41883193370143934,327.64,330.0,25,23
73,6.0,5.102379704312089,4.55268375803402,5.713683088612369,4.1096618765768085,3.657266248209551,4.589444732020473,0.22228260529955263,0.19515478974315448,0.24785410635416472,330.0,330.0,18,18
74,4.0,4.0,4.0,4.0,3.9499101627674507,3.9308866545662786,3.9684025487324552,0.2804247131663309,0.27103135445171084,0.28986875203673995,329.48,330.0,25,25
75,8.0,7.636418605534601,7.239691819650743,8.070900403962566,6.237052137148959,5.870657789313301,6.593601365848742,0.371711016836508,0.3456229553301941,0.39543423716456905,329.44,330.0,25,25
76,8.0,7.543291013021254,6.785036370240106,8.25906035637715,6.0701065824192275,5.526861030553465,6.555339225120138,0.31061252758183927,0.2800225833848067,0.3391186525139071,329.88,330.0,25,25
77,4.0,3.446499477508332,3.2740856844220567,3.6206896551303354,2.8450650590148188,2.780924001443838,2.9160810884652077,0.2048727526437754,0.1916927983118298,0.2167502681112642,329.7241379310345,330.0,29,29
78,9.0,9.474876540879597,8.499563290199394,10.592606321005258,7.428823110647948,6.9138534725977925,7.8395799060767155,0.43937337465535425,0.40566774598587824,0.472814488757588,329.0,330.0,6,6
79,7.0,6.789696764787896,6.467636362561863,7.111808876370456,5.575770022424462,5.354425936988313,5.834907919400993,0.39282000842830045,0.37221547514385694,0.41064155767689,329.84,330.0,25,25
80,10.0,9.651880369941273,8.983378992991309,10.368722528438736,5.542846313481013,5.205682216221132,5.909798592054728,0.35603793116036875,0.3434633904157988,0.369648625954647,323.28,330.0,25,22
81,6.0,6.4902674777505185,6.094848484131969,6.8908380431246,5.4090141607943565,5.176401782140928,5.647925691462367,0.39833814679197954,0.3757000026535873,0.41990953037861356,289.5833333333333,299.0,24,10
82,6.0,6.289417286750801,5.789676397548053,6.79718138116289,4.682711203076688,4.27062398291868,5.102615734495103,0.3082219315409647,0.2778334013442906,0.33678592301854976,330.0,330.0,20,20
83,9.0,7.831189572021917,6.906043864179249,8.834845248122283,6.372859896905889,5.576902532697299,7.307443403701578,0.3048975799365028,0.2579303097750075,0.3440167594702379,329.64285714285717,330.0,14,14
84,12.0,13.346846817016853,11.949088773984794,14.713904542829065,9.132001474610956,8.367890002053947,9.950195294801409,0.43405163823663384,0.41377162829453695,0.4541180505050466,324.56,330.0,25,22
