language_id,speaker_id,group_id,speaker_K_raw,speaker_K_rarefied,H_physical_bin_observed_MillerMadow,H_physical_bin_full,H_label_MillerMadow,I_physical_label_MillerMadow,information_efficiency,effective_colour_categories,n_chips,n_observed_chips,n_missing_chips,n_rarefaction_eligible
49,2,49:2,8,8.0,2.9648905455799617,2.9361026667920824,1.9282670296588567,0.12352467008270593,0.04207096416613596,6.877581263935271,330,330,0,True
49,3,49:3,7,7.0,2.9648905455799617,2.9361026667920824,1.9316603491828213,0.04694428633537373,0.015988639248321643,6.900958735899972,330,330,0,True
49,4,49:4,7,7.0,2.9648905455799617,2.9361026667920824,1.7691436140681864,0.9405827158273349,0.32035075832514864,5.865827797374475,330,330,0,True
49,5,49:5,6,5.948484848484849,2.9648905455799617,2.9361026667920824,1.6136428288349427,0.46144834153104597,0.15716355791986447,5.02106884733131,330,330,0,True
49,6,49:6,6,5.997494703877682,2.9648905455799617,2.9361026667920824,1.6191812774307182,0.9767934942489301,0.3326836984607735,5.048954930574996,330,330,0,True
49,7,49:7,8,8.0,2.9648905455799617,2.9361026667920824,2.008234911991735,0.04314199528216203,0.01469362627203291,7.450155554645941,330,330,0,True
49,8,49:8,8,7.999999999999788,2.9648905455799617,2.9361026667920824,1.899482097504742,0.12195146539255766,0.04153515024248079,6.6824326973651225,330,330,0,True
49,9,49:9,9,8.997494696655302,2.9648905455799617,2.9361026667920824,1.9192268155184893,0.15627919352752728,0.053226746903327564,6.815686648360962,330,330,0,True
49,10,49:10,7,6.896969696969698,2.9648905455799617,2.9361026667920824,1.5792979565976586,0.38742232819592526,0.1319512197505048,4.851548617680314,330,330,0,True
49,11,49:11,8,7.999999999999995,2.9648905455799617,2.9361026667920824,2.009042844026475,0.22589616392251655,0.07693741996063286,7.456177206197376,330,330,0,True
49,12,49:12,7,7.0,2.9648905455799617,2.9361026667920824,1.8065542804699273,0.14003368549227593,0.04769372919962417,6.089428777167188,330,330,0,True
49,13,49:13,7,6.948370277015841,2.9648905455799617,2.9361026667920824,1.6255243417815235,0.6338808472282054,0.21589192176333835,5.081082562703194,330,330,0,True
49,14,49:14,7,6.945979552362531,2.9648905455799617,2.9361026667920824,1.4550864493675684,0.8986945352566753,0.30608416572795394,4.284853872498565,330,330,0,True
49,15,49:15,6,5.999999999992409,2.9648905455799617,2.9361026667920824,1.5933272359547384,0.848632711474922,0.28903373205342253,4.920092031677311,330,330,0,True
49,16,49:16,8,7.948484848484849,2.9648905455799617,2.9361026667920824,1.8278224408306865,1.0447061246842064,0.35581389455486173,6.220326770558322,330,330,0,True
49,17,49:17,7,6.951367781155005,2.9634264472403125,2.9361026667920824,1.6555952710451527,0.7117871936362671,0.24242585304891576,5.23619595048141,330,329,1,True
49,18,49:18,8,7.999994899193337,2.9648905455799617,2.9361026667920824,1.7262565251189104,1.0357667450475365,0.35276925318799945,5.619577735883211,330,330,0,True
49,19,49:19,6,6.0,2.9641907751940266,2.9361026667920824,1.643475851909013,1.086292132489401,0.3699775708716135,5.1731192953472585,330,329,1,True
49,20,49:20,7,6.948484848239644,2.9648905455799617,2.9361026667920824,1.589744379786786,0.8910914658274369,0.30349465497438577,4.902495591175995,330,330,0,True
49,21,49:21,5,5.0,2.9648905455799617,2.9361026667920824,1.5052013617958777,0.7261295707925497,0.24731068807818699,4.505060686072514,330,330,0,True
49,22,49:22,8,7.999995094799492,2.9648905455799617,2.9361026667920824,1.7593239269295173,0.9390157646760765,0.3198170742789534,5.808509090066381,330,330,0,True
49,23,49:23,8,7.94597954514015,2.9648905455799617,2.9361026667920824,1.702721479915059,0.8362846147017917,0.28482812408446767,5.488864919278519,330,330,0,True
49,24,49:24,9,9.0,2.9648905455799617,2.9361026667920824,2.0263450887169383,0.7893389135647076,0.26883900297230445,7.5863083426517735,330,330,0,True
